person_id;household_id;age;employed;sex;socioprofessional_class;has_driving_license;has_pt_subscription;census_person_id;hts_id
1;1;52;True;female;6;True;False;0;15947
38;24;59;False;male;0;True;False;6;15940
39;24;59;True;female;4;True;False;7;15779
45;30;70;False;male;0;True;False;9;15796
46;30;69;False;female;0;True;False;10;15686
51;33;70;False;male;0;True;False;9;15834
52;33;69;False;female;0;True;False;10;15717
60;40;73;False;female;0;True;False;12;15842
96;56;10;False;male;0;True;False;18;15790
97;56;43;True;male;2;True;False;19;15649
98;56;1;False;female;0;True;False;20;15748
99;56;1;False;male;0;True;False;21;15649
100;56;12;False;female;0;False;False;22;15870
101;56;35;False;female;0;True;False;23;16034
102;57;10;False;male;0;True;False;18;15975
103;57;43;True;male;2;True;False;19;15783
104;57;1;False;female;0;True;False;20;16038
105;57;1;False;male;0;True;False;21;15757
106;57;12;False;female;0;True;False;22;15710
107;57;35;False;female;0;True;False;23;15947
140;76;78;False;male;0;True;False;28;15727
142;78;78;False;male;0;True;False;28;15941
146;80;56;True;male;4;True;False;29;15768
147;80;54;True;female;4;False;True;30;15901
148;80;21;False;female;0;True;False;31;16008
174;97;74;False;female;0;True;False;34;15749
175;97;69;False;male;0;True;False;35;15840
239;122;63;True;male;2;True;False;47;15637
240;122;67;False;female;0;True;False;48;15878
250;129;43;True;male;6;True;False;49;15783
284;144;70;False;female;0;True;False;55;15842
285;144;73;False;male;0;True;False;56;15823
329;164;91;False;female;0;True;False;66;15924
338;173;71;False;female;0;True;False;68;15856
339;173;76;False;male;0;True;False;69;15926
348;178;71;False;male;0;True;False;70;15850
349;178;68;False;female;0;True;False;71;16055
350;179;71;False;male;0;True;False;70;15468
351;179;68;False;female;0;False;False;71;15626
370;188;17;False;female;0;True;False;74;15891
371;188;51;True;male;3;True;False;75;15824
372;188;50;True;female;4;True;True;76;15980
373;188;15;False;male;0;True;False;77;15796
427;210;97;False;female;0;True;False;85;15755
429;212;97;False;female;0;True;False;85;16010
443;221;50;False;male;0;True;False;88;15850
447;225;64;False;female;0;True;False;89;15748
465;233;68;False;male;0;True;False;93;15941
466;233;70;False;female;0;True;False;94;15686
477;239;82;False;male;0;True;False;95;15926
478;239;67;False;female;0;True;False;96;15749
495;250;33;True;female;5;True;False;98;15869
496;250;7;False;male;0;True;False;99;15668
497;250;38;True;male;4;True;False;100;15680
498;250;10;False;female;0;True;False;101;15891
588;287;56;True;female;4;True;False;117;15718
619;308;35;True;female;5;True;False;124;15891
620;308;9;False;male;0;True;False;125;15954
621;308;12;False;female;0;True;False;126;15891
622;308;34;True;male;6;True;False;127;15920
655;322;63;False;female;0;True;False;132;16008
656;322;66;False;male;0;True;False;133;15632
675;330;4;False;female;0;True;False;134;15779
676;330;36;True;female;3;True;False;135;15855
677;330;41;True;male;4;True;False;136;15468
720;347;54;True;female;2;False;False;145;15870
721;347;60;True;male;3;True;False;146;15909
741;360;54;False;female;0;True;False;148;15982
742;360;83;False;male;0;True;False;149;15637
795;383;45;True;female;4;True;False;160;15946
802;388;18;False;female;0;True;False;161;15628
803;388;48;False;female;0;True;False;162;15772
804;388;46;True;male;3;True;False;163;15915
820;395;61;True;male;5;True;False;164;15834
821;395;62;True;female;5;True;False;165;16100
878;424;61;False;female;0;True;False;176;16079
879;424;62;False;male;0;True;False;177;15909
884;427;59;True;female;2;True;False;178;15755
887;430;59;True;female;2;True;False;178;15855
905;442;61;True;male;5;True;False;182;15940
906;442;62;True;female;5;True;False;183;16079
915;447;64;False;male;0;True;False;184;15985
916;447;64;False;female;0;True;False;185;15749
921;450;64;False;male;0;True;False;184;15915
922;450;64;False;female;0;False;False;185;15697
957;470;64;False;male;0;True;True;192;15989
961;474;70;False;male;0;True;False;193;16040
986;482;56;True;male;2;True;False;198;15468
987;482;54;False;female;0;True;False;199;15743
1002;490;63;False;female;0;True;False;202;15693
1031;501;18;True;male;6;True;True;207;15952
1032;501;47;True;male;6;True;True;208;15952
1033;501;12;False;female;0;True;False;209;15933
1034;501;43;True;female;2;True;False;210;15866
1039;503;18;True;male;6;True;False;207;15872
1040;503;47;True;male;6;True;False;208;15495
1041;503;12;False;female;0;False;False;209;15870
1042;503;43;True;female;2;False;False;210;15829
1059;511;75;False;female;0;True;False;213;16038
1060;511;72;False;male;0;True;False;214;16071
1088;524;16;False;male;0;True;False;217;15850
1089;524;51;True;female;3;True;False;218;15856
1090;524;53;True;male;2;True;False;219;15650
1114;531;77;False;female;0;True;False;224;15877
1115;531;80;False;male;0;True;False;225;15729
1120;534;77;False;female;0;False;False;224;15829
1121;534;80;False;male;0;True;False;225;15680
1160;554;53;True;male;6;True;False;232;15799
1161;554;56;True;female;6;True;False;233;16010
1162;555;53;True;male;6;True;False;232;15668
1163;555;56;True;female;6;True;False;233;15855
1164;556;14;False;female;0;True;False;234;15831
1165;556;40;True;female;5;True;False;235;15717
1210;577;31;True;male;2;True;False;243;15920
1211;578;31;True;male;2;True;False;243;15768
1301;619;57;True;female;6;True;False;260;16047
1306;624;14;False;male;0;True;False;261;16071
1307;624;58;True;male;3;True;False;262;15959
1308;624;52;True;female;3;True;False;263;15767
1309;624;19;False;male;0;True;False;264;15695
1326;629;60;True;male;4;True;False;265;15823
1382;663;67;False;male;0;True;False;277;16040
1383;663;20;True;female;5;False;False;278;15732
1384;663;58;True;female;5;True;False;279;15772
1406;675;76;False;male;0;True;False;281;15695
1407;675;74;False;female;0;True;False;282;15856
1408;676;76;False;male;0;True;False;281;15799
1409;676;74;False;female;0;True;False;282;15717
1418;680;60;False;female;0;True;False;283;15693
1419;680;64;True;male;3;True;False;284;15620
1420;680;32;False;male;0;True;False;285;15850
1424;682;60;False;female;0;True;False;283;16055
1425;682;64;True;male;3;True;False;284;15632
1426;682;32;False;male;0;True;False;285;15468
1449;692;53;True;female;5;True;False;288;15869
1450;692;74;False;female;0;True;False;289;15878
